#maxt,overall, model, solve, modelmem
    100  4.1559  4.1559  0.0000 381463793
    200  0.0500  0.0500  0.0000 16611248
    300  0.0647  0.0647  0.0000 26428336
    400  0.0883  0.0883  0.0000 33651456
    500  0.1106  0.1106  0.0000 40802816
    600  0.2186  0.2186  0.0000 54067648
    700  0.1576  0.1576  0.0000 60892592
    800  0.1918  0.1918  0.0000 69033296
    900  0.2619  0.2619  0.0000 76137232
   1000  0.3085  0.3085  0.0000 84298448
   1100  0.3501  0.3501  0.0000 91432336
   1200  0.3995  0.3995  0.0000 104868976
   1300  0.4461  0.4461  0.0000 114968176
   1400  0.4546  0.4546  0.0000 121516080
   1500  0.6490  0.6490  0.0000 128588624
   1600  0.6902  0.6902  0.0000 137760592
   1700  0.6447  0.6447  0.0000 144836368
   1800  0.6522  0.6522  0.0000 151911696
   1900  0.6266  0.6266  0.0000 158987440
   2000  0.7437  0.7437  0.0000 168161840
   2100  0.6541  0.6541  0.0000 175240080
   2200  0.7759  0.7759  0.0000 182320560
   2300  0.8166  0.8166  0.0000 201985264
   2400  1.0034  1.0034  0.0000 209067888
   2500  1.0711  1.0711  0.0000 216151504
   2600  0.9313  0.9313  0.0000 223236208
   2700  1.0035  1.0035  0.0000 229273520
   2800  0.4420  0.4420  0.0000 236360848
   2900  1.1356  1.1356  0.0000 243451184
   3000  1.3024  1.3024  0.0000 250542416
   3100  0.4900  0.4900  0.0000 257639856
   3200  1.4620  1.4620  0.0000 267084976
   3300  0.5343  0.5343  0.0000 274125168
   3400  1.5367  1.5367  0.0000 281166736
   3500  1.2423  1.2423  0.0000 288210320
   3600  1.4534  1.4534  0.0000 296639936
   3700  1.0801  1.0801  0.0000 303734784
   3800  1.3627  1.3627  0.0000 310830784
   3900  1.5059  1.5059  0.0000 322121920
   4000  1.5245  1.5245  0.0000 329223616
   4100  1.8653  1.8653  0.0000 336326400
   4200  1.3844  1.3844  0.0000 343442304
   4300  1.7517  1.7517  0.0000 350558304
   4400  2.2768  2.2768  0.0000 357676160
   4500  1.6588  1.6588  0.0000 389964672
   4600  2.2867  2.2867  0.0000 376125312
   4700  2.1869  2.1869  0.0000 404240064
   4800  2.2852  2.2852  0.0000 390418272
   4900  2.5738  2.5738  0.0000 409799936
   5000  2.5279  2.5279  0.0000 437823232
